stat_name,guid,statCategory
Damage Blocked - Avg per 10 Min,1262,Hero
Graviton Surge |Rpl {0}:Kill:Kills; - Avg per 10 Min,1263,Hero
High Energy |Rpl {0}:Kill:Kills; - Avg per 10 Min,1264,Hero
Projected |Rpl {0}:Barrier:Barriers; Applied - Avg per 10 Min,1265,Hero
Critical |Rpl {0}:Hit:Hits; - Avg per 10 Min,1266,Hero
Damage Amplified - Avg per 10 Min,1267,Hero
Defensive |Rpl {0}:Assist:Assists; - Avg per 10 Min,1268,Hero
Healing Done - Avg per 10 Min,1269,Hero
Offensive |Rpl {0}:Assist:Assists; - Avg per 10 Min,1271,Hero
|Rpl {0}:Player:Players; Saved - Avg per 10 Min,1272,Hero
Recon |Rpl {0}:Assist:Assists; - Avg per 10 Min,1273,Hero
Scoped Critical |Rpl {0}:Hit:Hits; - Avg per 10 Min,1274,Hero
Self Healing - Avg per 10 Min,1275,Hero
Damage Blocked - Avg per 10 Min,1276,Hero
Death Blossom |Rpl {0}:Kill:Kills; - Avg per 10 Min,1277,Hero
|Rpl {0}:Soul:Souls; Consumed - Avg per 10 Min,1278,Hero
|Rpl {0}:Enemy:Enemies; Hooked - Avg per 10 Min,1279,Hero
Whole Hog |Rpl {0}:Kill:Kills; - Avg per 10 Min,1280,Hero
Barrage |Rpl {0}:Kill:Kills; - Avg per 10 Min,1281,Hero
Rocket Direct |Rpl {0}:Hit:Hits; - Avg per 10 Min,1282,Hero
Helix |Rpl {0}:Rocket:Rockets; Kills - Avg per 10 Min,1283,Hero
Tactical Visor |Rpl {0}:Kill:Kills; - Avg per 10 Min,1284,Hero
|Rpl {0}:Enemy:Enemies; EMP'd - Avg per 10 Min,1285,Hero
|Rpl {0}:Enemy:Enemies; Hacked - Avg per 10 Min,1286,Hero
Damage Blocked - Avg per 10 Min,1287,Hero
Jump Pack |Rpl {0}:Kill:Kills; - Avg per 10 Min,1288,Hero
Melee |Rpl {0}:Kill:Kills; - Avg per 10 Min,1289,Hero
|Rpl {0}:Player:Players; Knocked Back - Avg per 10 Min,1290,Hero
Primal Rage |Rpl {0}:Kill:Kills;  - Avg per 10 Min,1291,Hero
Damage Blocked - Avg per 10 Min,1292,Hero
|Rpl {0}:Player:Players; Teleported - Avg per 10 Min,1293,Hero
Sentry Turret |Rpl {0}:Kill:Kills; - Avg per 10 Min,1294,Hero
|Rpl {0}:Shield:Shields; Provided - Avg per 10 Min,1295,Hero
Health Recovered - Avg per 10 Min,1296,Hero
Pulse Bomb |Rpl {0}:Kill:Kills; - Avg per 10 Min,1297,Hero
Pulse |Rpl {0}:Bomb:Bombs; Attached - Avg per 10 Min,1298,Hero
Venom Mine |Rpl {0}:Kill:Kills; - Avg per 10 Min,1299,Hero
Transcendence Healing - Avg per 10 Min,1300,Hero
Barrier Damage Done,1301,Hero
Barrier Damage Done,1302,Hero
Barrier Damage Done - Most in Game,1303,Hero
Barrier Damage Done - Avg per 10 Min,1304,Hero
Barrier Damage Done - Avg per 10 Min,1305,Hero
Ability Damage Done,1306,Hero
Ability Damage Done - Avg per 10 Min,1307,Hero
Ability Damage Done - Most in Game,1308,Hero
Meteor Strike |Rpl {0}:Kill:Kills;,1309,Hero
Meteor Strike |Rpl {0}:Kill:Kills; - Avg per 10 Min,1310,Hero
Meteor Strike |Rpl {0}:Kill:Kills; - Most in Game,1311,Hero
|Rpl {0}:Shield:Shields; Created,1312,Hero
|Rpl {0}:Shield:Shields; Created - Avg per 10 Min,1313,Hero
|Rpl {0}:Shield:Shields; Created - Most in Game,1314,Hero
|Rpl {0}:Game:Games; Played Without Ties,1315,Hero
|Rpl {0}:Game:Games; Played Without Ties,1316,Hero
|Rpl {0}:Assist:Assists;,1319,Hero
|Rpl {0}:Assist:Assists;,1321,Hero
Barrier Damage Done - Most in Game,1322,Player
Damage - Quick Melee,1323,Hero
Damage - Quick Melee,1324,Hero
Damage - Weapon,1325,Hero
Damage - Seismic Slam,1326,Hero
Damage - Rising Uppercut,1327,Hero
Damage - Rocket Punch,1328,Hero
Damage - Meteor Strike,1329,Hero
Damage - Weapon Primary,1330,Hero
Damage - Weapon Secondary,1331,Hero
Damage - Deflect,1332,Hero
Damage - Swift Strike,1333,Hero
Damage - Dragonblade,1334,Hero
Damage - Weapon Primary,1335,Hero
Damage - Weapon Secondary,1336,Hero
Damage - Flashbang,1337,Hero
Damage - Deadeye,1338,Hero
Damage - Weapon,1339,Hero
Damage - Barrage,1340,Hero
Damage - Weapon,1341,Hero
Damage - Death Blossom,1342,Hero
Damage - Weapon,1343,Hero
Damage - Helix Rockets,1344,Hero
Damage - Tactical Visor,1345,Hero
Damage - Weapon,1346,Hero
Damage - Weapon,1347,Hero
Damage - Pulse Bomb,1348,Hero
Damage - Weapon Recon,1349,Hero
Damage - Weapon Sentry,1350,Hero
Damage - Weapon Tank,1351,Hero
Damage - Weapon,1352,Hero
Damage - Scatter,1353,Hero
Damage - Sonic,1354,Hero
Damage - Dragonstrike,1355,Hero
Damage - Weapon,1356,Hero
Damage - Concussion Mine,1357,Hero
Damage - Steel Trap,1358,Hero
Damage - Total Mayhem,1359,Hero
Damage - RIP-Tire,1360,Hero
Damage - Weapon Primary,1361,Hero
Damage - Weapon Secondary,1362,Hero
Damage - Blizzard,1363,Hero
Damage - Weapon Primary,1364,Hero
Damage - Weapon Secondary,1365,Hero
Damage - Weapon Hammer,1366,Hero
Turret Damage,1367,Hero
Damage - Turret Rockets,1368,Hero
Damage - Molten Core,1369,Hero
Damage - Weapon,1370,Hero
Damage - Weapon Scoped,1371,Hero
Damage - Venom Mine,1372,Hero
Damage - Weapon,1373,Hero
Damage - Pistol,1374,Hero
Damage - Boosters,1375,Hero
Damage - Self Destruct,1376,Hero
Damage - Call Mech,1377,Hero
Damage - Weapon,1378,Hero
Damage - Weapon,1379,Hero
Damage - Charge,1380,Hero
Damage - Fire Strike,1381,Hero
Damage - Earthshatter,1382,Hero
Damage - Weapon Primary,1383,Hero
Damage - Weapon Secondary,1384,Hero
Damage - Chain Hook,1385,Hero
Damage - Whole Hog,1386,Hero
Damage - Weapon,1387,Hero
Damage - Jump Pack,1388,Hero
Damage - Primal Rage Melee,1389,Hero
Damage - Primal Rage Total,1390,Hero
Damage - Weapon Primary,1391,Hero
Damage - Weapon Secondary,1392,Hero
Damage - Graviton Surge,1393,Hero
Damage - Weapon,1394,Hero
Damage - Weapon Scoped,1395,Hero
Damage - Biotic Grenade,1396,Hero
Damage - Nano Boost,1397,Hero
Damage - Weapon Primary,1398,Hero
Damage - Weapon Secondary,1399,Hero
Damage - Weapon Pistol,1400,Hero
Damage - Weapon Primary,1401,Hero
Damage - Weapon Secondary,1402,Hero
Damage - Sentry Turret,1403,Hero
Damage - Weapon Primary,1404,Hero
Damage - Weapon Charged,1405,Hero
Damage - EMP,1406,Hero
Damage - Micro Missiles,1410,Hero
Speed Song Time Elapsed,1413,Hero
Heal Song Time Elapsed,1414,Hero
Amped Heal |Rpl {0}:Activation:Activations;,1415,Hero
Amped Speed |Rpl {0}:Activation:Activations;,1416,Hero
Coalescence |Rpl {0}:Kill:Kills;,1417,Hero
Coalescence |Rpl {0}:Kill:Kills; - Avg per 10 Min,1418,Hero
Coalescence |Rpl {0}:Kill:Kills; - Most in Game,1419,Hero
Damage - Weapon,1420,Hero
Damage - Biotic Orb,1421,Hero
Damage - Coalescence,1422,Hero
Coalescence Healing,1424,Hero
Coalescence Healing - Avg per 10 Min,1425,Hero
Coalescence Healing - Most in Game,1426,Hero
Healing - Coalescence,1427,Hero
Primary Fire Accuracy,1429,Hero
Primary Fire |Rpl {0}:Hit:Hits;,1430,Hero
Primary Fire |Rpl {0}:Tick:Ticks;,1431,Hero
Tesla Cannon |Rpl {0}:Tick:Ticks;,1435,Hero
Tesla Cannon |Rpl {0}:Hit:Hits;,1436,Hero
Tesla Cannon Accuracy,1437,Hero
Tesla Cannon Efficiency,1438,Hero
Tesla Cannon |Rpl {0}:Hit:Hits; - Multiple,1439,Hero
Primal Rage Melee |Rpl {0}:Hit:Hits;,1440,Hero
Primal Rage Melee |Rpl {0}:Tick:Ticks;,1441,Hero
Primal Rage Melee |Rpl {0}:Hit:Hits; - Multiple,1442,Hero
Primal Rage Melee Accuracy,1443,Hero
Primal Rage Melee Efficiency,1444,Hero
Rocket Hammer Melee |Rpl {0}:Tick:Ticks;,1445,Hero
Rocket Hammer Melee |Rpl {0}:Hit:Hits;,1446,Hero
Rocket Hammer Melee |Rpl {0}:Hit:Hits; - Multiple,1447,Hero
Rocket Hammer Melee Average Targets,1448,Hero
Rocket Hammer Melee Accuracy,1449,Hero
Quick Melee |Rpl {0}:Tick:Ticks;,1450,Hero
Quick Melee |Rpl {0}:Hit:Hits;,1451,Hero
Quick Melee Accuracy,1452,Hero
Primary Fire |Rpl {0}:Tick:Ticks;,1453,Hero
Primary Fire |Rpl {0}:Hit:Hits;,1454,Hero
Primary Fire Hits |Rpl {0}:Hit:Hits; - Level,1455,Hero
Primary Fire Average Level,1456,Hero
Primary Fire Accuracy,1457,Hero
Secondary Fire |Rpl {0}:Tick:Ticks;,1459,Hero
Secondary Fire |Rpl {0}:Hit:Hits;,1460,Hero
Secondary Fire Accuracy,1461,Hero
Secondary Fire Accuracy - Best in Game,1462,Hero
Shield Generator Uptime,1463,Hero
Concussion Mine |Rpl {0}:Kill:Kills;,1464,Hero
Concussion Mine |Rpl {0}:Kill:Kills; - Avg per 10 Min,1465,Hero
Concussion Mine |Rpl {0}:Kill:Kills; - Most in Game,1466,Hero
Supercharger |Rpl {0}:Assist:Assists;,1467,Hero
Supercharger |Rpl {0}:Assist:Assists; - Avg per 10 Min,1468,Hero
Supercharger |Rpl {0}:Assist:Assists; - Most in Game,1469,Hero
Time Building Ultimate,1470,Hero
Time Building Ultimate,1471,Hero
Time Elapsed per Ultimate Earned,1472,Hero
Time Elapsed per Ultimate Earned,1473,Hero
Nano Boost Efficiency,1474,Hero
Tank Efficiency,1475,Hero
Meteor Strike Efficiency,1476,Hero
Self Destruct Efficiency,1477,Hero
Dragonblade Efficiency,1478,Hero
Dragonstrike Efficiency,1479,Hero
RIP-Tire Efficiency,1480,Hero
Sound Barrier Efficiency,1481,Hero
Deadeye Efficiency,1482,Hero
Blizzard Efficiency,1483,Hero
Supercharger Efficiency,1484,Hero
Barrage Efficiency,1485,Hero
Death Blossom Efficiency,1486,Hero
Earthshatter Efficiency,1487,Hero
Whole Hog Efficiency,1488,Hero
Tactical Visor Efficiency,1489,Hero
EMP Efficiency,1490,Hero
Molten Core Efficiency,1491,Hero
Pulse Bomb Efficiency,1492,Hero
Infra-Sight Efficiency,1493,Hero
Primal Rage Efficiency,1494,Hero
Graviton Surge Efficiency,1495,Hero
Transcendence Efficiency,1496,Hero
|Rpl {0}:Ultimate:Ultimates; Earned - Fractional,1497,Hero
Sleep Dart Success Rate,1498,Hero
Sleep Dart |Rpl {0}:Shot:Shots;,1499,Hero
Sleep Dart |Rpl {0}:Hit:Hits;,1500,Hero
Pulse Bomb Attach Rate,1501,Hero
Coalesence - Healing per Use,1502,Hero
Coalesence - Damage per Use,1503,Hero
Biotic Orb Damage Efficiency,1504,Hero
Biotic Orb Healing Efficiency,1505,Hero
Healing - Biotic Orb,1506,Hero
Biotic Orb Maximum Healing,1507,Hero
Biotic Orb Maximum Damage,1508,Hero
Healing - Primary Fire,1520,Hero
Healing - Secondary Fire,1521,Hero
|Rpl {0}:Shot:Shots; Missed,1522,Hero
|Rpl {0}:Shot:Shots; Hits + Missed,1523,Hero
Damage - Primal Rage Leap,1524,Hero
Healing - Biotic Grenade,1525,Hero
Healing - Weapon,1526,Hero
Healing - Weapon Scoped,1527,Hero
Healing - Healing Boost,1528,Hero
Healing - Healing Boost Amped,1529,Hero
Healing - Weapon,1530,Hero
Healing - Weapon Valkyrie,1531,Hero
Healing - Harmony Orb,1532,Hero
Healing - Transcendence,1533,Hero
Harmony Orb Time,1534,Hero
Discord Orb Time,1535,Hero
|Rpl {0}:Player:Players; Knocked Back,1536,Hero
Players Halted,1537,Hero
Damage - Swift Strike Dragonblade,1538,Hero
Damage - Dragonblade Total,1539,Hero
Damage Blocked,1540,Hero
Damage Blocked - Avg per 10 Min,1541,Hero
Damage Blocked - Most in Game,1542,Hero
Armor Provided,1543,Hero
Armor Provided - Most in Game,1544,Hero
Armor Provided - Avg per 10 Min,1545,Hero
Damage - Weapon,1546,Hero
Damage - Weapon,1547,Hero
Damage - Shield Bash,1548,Hero
Healing - Repair Pack,1549,Hero
Healing - Inspire,1550,Hero
Armor - Repair Pack,1551,Hero
Armor - Rally,1552,Hero
Inspire Uptime,1553,Hero
Inspire Uptime Percentage,1554,Hero
Damage Taken,1564,Hero
Valkyrie Healing Efficiency,1570,Hero
|Rpl {0}:Ultimate:Ultimates; Earned - Fractional,1571,Hero
Direct Hit Accuracy,1572,Hero
Damage - Storm Arrows,1573,Hero
Storm Arrow |Rpl {0}:Kill:Kills;,1574,Hero
Storm Arrow |Rpl {0}:Kill:Kills; - Avg per 10 Min,1576,Hero
Storm Arrow |Rpl {0}:Kill:Kills; - Most in Game,1577,Hero
Time Played Since 2.23,1578,Hero
Time Played Before 2.23,1579,Hero
Scoped Critical Hit Accuracy,1583,Hero
Rally Armor Efficiency,1584,Hero
Secondary Fire Accuracy,1585,Hero
Secondary Direct |Rpl {0}:Hit:Hits;,1586,Hero
Secondary Direct |Rpl {0}:Hit:Hits; - Most in Game,1587,Hero
Secondary Direct |Rpl {0}:Hit:Hits; - Avg per 10 Min,1588,Hero
Damage - Weapon,1589,Hero
Damage - Piledriver,1590,Hero
Damage - Minefield,1591,Hero
Damage - Grappling Claw,1592,Hero
Shielding - Adaptive Shield,1593,Hero
Damage Taken - Adaptive Shield,1594,Hero
Adaptive Shield |Rpl {0}:Use:Uses;,1595,Hero
Piledriver |Rpl {0}:Kill:Kills;,1596,Hero
Piledriver |Rpl {0}:Use:Uses;,1597,Hero
Grappling Claw |Rpl {0}:Kill:Kills;,1598,Hero
Grappling Claw |Rpl {0}:Impact:Impacts;,1599,Hero
Grappling Claw |Rpl {0}:Use:Uses;,1600,Hero
Roll Uptime,1601,Hero
Roll Uptime Percentage,1602,Hero
Roll |Rpl {0}:Use:Uses;,1603,Hero
Air Uptime,1604,Hero
Air Uptime Percentage,1605,Hero
|Rpl {0}:Player:Players; Knocked Back,1606,Hero
Minefield |Rpl {0}:Kill:Kills;,1607,Hero
Damage Taken - Tank,1609,Hero
Damage Taken - Ball,1610,Hero
Grappling Claw |Rpl {0}:Kill:Kills; - Most in Game,1611,Hero
Grappling Claw |Rpl {0}:Kill:Kills; - Avg per 10 Min,1612,Hero
Minefield |Rpl {0}:Kill:Kills; - Avg per 10 Min,1613,Hero
Minefield |Rpl {0}:Kill:Kills; - Most in Game,1614,Hero
Piledriver |Rpl {0}:Kill:Kills; - Avg per 10 Min,1615,Hero
Piledriver |Rpl {0}:Kill:Kills; - Most in Game,1616,Hero
|Rpl {0}:Player:Players; Knocked Back - Avg per 10 Min,1617,Hero
|Rpl {0}:Player:Players; Knocked Back - Most in Game,1618,Hero
Turret Damage - Avg per 10 Min,1619,Hero
Turret |Rpl {0}:Damage:Damage; Done - Most in Game,1620,Hero
Time Played Before 10.09,1622,Hero
Time Played Since 10.09,1623,Hero
Hammer |Rpl {0}:Kill:Kills;,1624,Hero
Hammer |Rpl {0}:Kill:Kills; - Most in Game,1625,Hero
Overload |Rpl {0}:Kill:Kills;,1626,Hero
Overload |Rpl {0}:Kill:Kills; - Most in Game,1627,Hero
Damage - Weapon,1628,Hero
Damage - Weapon Scoped,1629,Hero
Damage - Dynamite,1630,Hero
Damage - Coach Gun,1631,Hero
Damage - Bob,1632,Hero
|Rpl {0}:Player:Players; Knocked Back,1633,Hero
Dynamite |Rpl {0}:Kill:Kills;,1634,Hero
Dynamite |Rpl {0}:Kill:Kills; - Average,1635,Hero
Dynamite |Rpl {0}:Kill:Kills; - Avg per 10 Min,1636,Hero
Dynamite |Rpl {0}:Kill:Kills; - Most in Game,1637,Hero
Coach Gun |Rpl {0}:Kill:Kills;,1638,Hero
Coach Gun |Rpl {0}:Kill:Kills; - Average,1639,Hero
Coach Gun |Rpl {0}:Kill:Kills; - Avg per 10 Min,1640,Hero
Coach Gun |Rpl {0}:Kill:Kills; - Most in Game,1641,Hero
Bob |Rpl {0}:Kill:Kills;,1642,Hero
Damage - Bob Charge,1643,Hero
Bob Gun Damage,1644,Hero
Bob |Rpl {0}:Kill:Kills; - Avg per 10 Min,1645,Hero
Bob |Rpl {0}:Kill:Kills; - Most in Game,1646,Hero
Scoped Critical Hit |Rpl {0}:Kill:Kills;,1655,Hero
Scoped Critical Hit |Rpl {0}:Kill:Kills; - Avg per 10 Min,1656,Hero
Scoped Critical |Rpl {0}:Hit:Hits; - Most in Game,1657,Hero
|Rpl {0}:Ultimate:Ultimates; Negated,1658,Hero
|Rpl {0}:Ultimate:Ultimates; Negated - Avg per 10 Min,1659,Hero
|Rpl {0}:Ultimate:Ultimates; Negated - Most in Game,1660,Hero
Damage - Discord Orb,1661,Hero
Damage - Weapon Primary,1678,Hero
Amplification Matrix |Rpl {0}:Assist:Assists;,1679,Hero
Healing - Regenerative Burst,1680,Hero
Healing - Biotic Launcher,1681,Hero
Healing - Immortality Field,1682,Hero
Biotic Launcher Healing |Rpl {0}:Shot:Shots;,1683,Hero
Biotic Launcher Healing |Rpl {0}:Explosion:Explosions;,1684,Hero
Healing Accuracy,1685,Hero
Healing Accuracy - Best in Game,1686,Hero
Amplification Matrix |Rpl {0}:Assist:Assists; - Best in Game,1687,Hero
Amplification Matrix |Rpl {0}:Assist:Assists; - Avg per 10 Min,1688,Hero
Immortality Field |Rpl {0}:Death:Deaths; Prevented,1689,Hero
Immortality Field |Rpl {0}:Death:Deaths; Prevented - Avg per 10 Min,1690,Hero
Immortality Field |Rpl {0}:Death:Deaths; Prevented - Most in Game,1691,Hero
Healing Amplified,1692,Hero
Healing Amplified - Average,1693,Hero
Healing Amplified - Avg per 10 Min,1694,Hero
Healing Amplified - Most in Game,1695,Hero
Damage Blocked,1697,Hero
Damage Blocked - Most in Game,1698,Hero
Damage Blocked - Avg per 10 Min,1699,Hero
Soundwave |Rpl {0}:Kill:Kills;,1700,Hero
Soundwave |Rpl {0}:Kill:Kills; - Average,1701,Hero
Soundwave |Rpl {0}:Kill:Kills; - Avg per 10 Min,1702,Hero
Soundwave |Rpl {0}:Kill:Kills; - Most in Game,1703,Hero
Amplification Matrix |Rpl {0}:Cast:Casts;,1708,Hero
Amplification Matrix |Rpl {0}:Cast:Casts; - Avg per 10 Min,1710,Hero
Amplification Matrix |Rpl {0}:Cast:Casts; - Most in Game,1711,Hero
Amplification Matrix Efficiency,1712,Hero
Damage Prevented,1713,Hero
Time Discorded,1714,Hero
Time Hacked,1715,Hero
Healing Received,1716,Hero
Healing Received - Most in Game,1717,Hero
Healing Received - Avg per 10 Min,1718,Hero
Damage Absorbed,1720,Hero
Accretion |Rpl {0}:Kill:Kills; - Avg per 10 Min,1723,Hero
Accretion |Rpl {0}:Kill:Kills; - Most in Game,1724,Hero
Accretion |Rpl {0}:Kill:Kills;,1725,Hero
Damage - Accretion,1726,Hero
Gravitic Flux |Rpl {0}:Kill:Kills;,1727,Hero
Gravitic Flux |Rpl {0}:Kill:Kills; - Most in Game,1728,Hero
Gravitic Flux Damage Done,1729,Hero
Gravitic Flux |Rpl {0}:Kill:Kills; - Avg per 10 Min,1730,Hero
Damage - Hyperspheres,1732,Hero
Hyperspheres Direct |Rpl {0}:Hit:Hits;,1733,Hero
Accretion |Rpl {0}:Stun :Stuns;,1734,Hero
|Rpl {0}:Shot:Shots; Hit,1752,Hero
|Rpl {0}:Shot:Shots; Hits + Missed,1754,Hero
|Rpl {0}:Shot:Shots; Missed,1755,Hero
|Rpl {0}:Ultimate:Ultimates; Negated,1756,Hero
|Rpl {0}:Ultimate:Ultimates; Negated - Avg per 10 Min,1757,Hero
|Rpl {0}:Ultimate:Ultimates; Negated - Most in Game,1758,Hero
Knockback |Rpl {0}:Kill:Kills;,1768,Hero
Knockback |Rpl {0}:Kill:Kills;,1769,Hero
